customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureBucket,ChargeTier,ServiceCount,ChurnFlag,AtRisk
4346-ABCD,Female,1,No,No,27,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),43.52,1175.04,Yes,25-48 months,Mid ($35-65),0,1,0
7010-ABCD,Male,1,No,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),70.36,4854.84,No,49-72 months,High (>$65),5,0,0
6174-ABCD,Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,59.03,3128.59,No,49-72 months,Mid ($35-65),2,0,0
8632-ABCD,Female,0,No,No,43,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,28.54,1227.22,No,25-48 months,Low (<$35),4,0,0
7013-ABCD,Female,1,Yes,Yes,11,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),21.65,238.15,Yes,0-12 months,Low (<$35),0,1,0
6197-ABCD,Female,0,No,No,11,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),74.48,819.28,No,0-12 months,High (>$65),3,0,1
7464-ABCD,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,97.63,390.52,Yes,0-12 months,High (>$65),0,1,0
6754-ABCD,Female,0,Yes,Yes,63,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.76,1622.88,No,49-72 months,Low (<$35),0,0,0
9887-ABCD,Female,0,No,Yes,43,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),59.87,2574.41,Yes,25-48 months,Mid ($35-65),3,1,0
1849-ABCD,Male,1,No,No,51,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Electronic check,34.07,1737.57,No,49-72 months,Low (<$35),2,0,0
9023-ABCD,Male,1,No,No,1,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,35.15,35.15,Yes,0-12 months,Mid ($35-65),3,1,0
9849-ABCD,Female,0,Yes,No,70,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),28.15,1970.5,No,49-72 months,Low (<$35),0,0,0
7949-ABCD,Female,0,No,Yes,60,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,42.84,2570.4,No,49-72 months,Mid ($35-65),2,0,0
3753-ABCD,Female,0,No,No,15,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Electronic check,29.71,445.65,No,13-24 months,Low (<$35),0,0,0
6639-ABCD,Female,0,Yes,No,13,No,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),36.76,477.88,No,13-24 months,Mid ($35-65),2,0,0
4522-ABCD,Female,0,No,No,13,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),48.1,625.3,No,13-24 months,Mid ($35-65),3,0,0
4008-ABCD,Male,0,No,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),66.72,1467.84,No,13-24 months,High (>$65),1,0,0
2632-ABCD,Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,65.29,2481.02,No,25-48 months,High (>$65),3,0,0
2102-ABCD,Female,0,No,No,31,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.63,763.53,Yes,25-48 months,Low (<$35),0,1,0
5040-ABCD,Male,0,No,Yes,21,No,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),98.41,2066.61,No,13-24 months,High (>$65),1,0,0
7127-ABCD,Male,1,No,No,44,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Electronic check,55.41,2438.04,Yes,25-48 months,Mid ($35-65),1,1,0
7980-ABCD,Female,0,Yes,No,10,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),79.42,794.2,No,0-12 months,High (>$65),4,0,1
1755-ABCD,Male,0,No,No,21,Yes,Yes,No,No,No,No,No,No,No,One year,No,Credit card (automatic),25.56,536.76,No,13-24 months,Low (<$35),0,0,0
8977-ABCD,Male,0,No,No,26,No,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),57.88,1504.88,No,25-48 months,Mid ($35-65),2,0,0
2820-ABCD,Female,0,Yes,No,33,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),26.07,860.31,Yes,25-48 months,Low (<$35),0,1,0
5342-ABCD,Female,0,Yes,No,57,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,36.26,2066.82,Yes,49-72 months,Mid ($35-65),4,1,0
9894-ABCD,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,99.58,1394.12,No,13-24 months,High (>$65),0,0,0
5888-ABCD,Female,1,No,Yes,37,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,35.57,1316.09,No,25-48 months,Mid ($35-65),1,0,0
7034-ABCD,Female,0,No,Yes,43,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),72.56,3120.08,Yes,25-48 months,High (>$65),4,1,0
2436-ABCD,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),62.75,188.25,No,0-12 months,Mid ($35-65),3,0,0
7009-ABCD,Male,0,No,No,44,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,51.58,2269.52,Yes,25-48 months,Mid ($35-65),2,1,0
5095-ABCD,Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,98.18,1178.16,Yes,0-12 months,High (>$65),1,1,0
1669-ABCD,Female,0,Yes,Yes,4,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,24.52,98.08,No,0-12 months,Low (<$35),0,0,1
2104-ABCD,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),85.04,5867.76,No,49-72 months,High (>$65),1,0,0
9048-ABCD,Female,0,No,Yes,70,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,60.9,4263.0,No,49-72 months,Mid ($35-65),3,0,0
9134-ABCD,Female,0,No,No,59,No,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),57.42,3387.78,No,49-72 months,Mid ($35-65),0,0,0
5687-ABCD,Male,0,No,No,22,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,48.59,1068.98,No,13-24 months,Mid ($35-65),4,0,0
9068-ABCD,Male,1,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,81.32,569.24,Yes,0-12 months,High (>$65),1,1,0
7992-ABCD,Male,0,No,No,49,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,45.61,2234.89,Yes,49-72 months,Mid ($35-65),1,1,0
3752-ABCD,Male,0,Yes,No,32,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),32.15,1028.8,No,25-48 months,Low (<$35),3,0,0
1712-ABCD,Female,0,No,Yes,8,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),64.72,517.76,Yes,0-12 months,Mid ($35-65),1,1,0
4825-ABCD,Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),87.3,3142.8,No,25-48 months,High (>$65),1,0,0
5172-ABCD,Male,0,No,No,2,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),28.5,57.0,No,0-12 months,Low (<$35),3,0,1
8003-ABCD,Male,0,No,No,66,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,86.58,5714.28,No,49-72 months,High (>$65),3,0,0
8750-ABCD,Male,0,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,70.56,1270.08,No,13-24 months,High (>$65),3,0,0
7596-ABCD,Female,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),83.7,4017.6,No,25-48 months,High (>$65),2,0,0
2335-ABCD,Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),63.74,1402.28,Yes,13-24 months,Mid ($35-65),0,1,0
5551-ABCD,Female,0,Yes,No,37,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,27.11,1003.07,Yes,25-48 months,Low (<$35),3,1,0
4872-ABCD,Male,0,No,No,39,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),52.93,2064.27,No,25-48 months,Mid ($35-65),4,0,0
4421-ABCD,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Mailed check,90.17,1172.21,No,13-24 months,High (>$65),2,0,0
5503-ABCD,Male,0,Yes,No,70,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,59.85,4189.5,Yes,49-72 months,Mid ($35-65),3,1,0
